Date : 2023-03-19 19:02:53
Directory : /Users/bruno1388/Desktop/trans/server/src
Total : 79 files,  2416 codes, 273 comments, 448 blanks, all 3137 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         79 |      2,416 |        273 |        448 |      3,137 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/bruno1388/Desktop/trans/server/src/game/game.service.ts                       | TypeScript |         19 |         12 |          8 |         39 |
| /Users/bruno1388/Desktop/trans/server/src/general/dto/Broadcast.dto.ts               | TypeScript |         19 |          0 |          6 |         25 |
| /Users/bruno1388/Desktop/trans/server/src/general/dto/GameEnd.dto.ts                 | TypeScript |          7 |          0 |          3 |         10 |
| /Users/bruno1388/Desktop/trans/server/src/general/dto/invitation.dto.ts              | TypeScript |         14 |          0 |          5 |         19 |
| /Users/bruno1388/Desktop/trans/server/src/general/dto/response.dto.ts                | TypeScript |         13 |          0 |          5 |         18 |
| /Users/bruno1388/Desktop/trans/server/src/general/general.gateway.ts                 | TypeScript |         58 |          4 |         11 |         73 |
| /Users/bruno1388/Desktop/trans/server/src/general/general.module.ts                  | TypeScript |         12 |          0 |          2 |         14 |
| /Users/bruno1388/Desktop/trans/server/src/general/general.service.ts                 | TypeScript |         66 |         15 |         11 |         92 |
| /Users/bruno1388/Desktop/trans/server/src/invitations/InvitationPong.ts              | TypeScript |         26 |          1 |          4 |         31 |
| /Users/bruno1388/Desktop/trans/server/src/invitations/dtos/GameBall.dto.ts           | TypeScript |         12 |          0 |          4 |         16 |
| /Users/bruno1388/Desktop/trans/server/src/invitations/dtos/GameFrame.dto.ts          | TypeScript |         12 |          0 |          4 |         16 |
| /Users/bruno1388/Desktop/trans/server/src/invitations/dtos/InvitationOpponent.dto.ts | TypeScript |          9 |          0 |          3 |         12 |
| /Users/bruno1388/Desktop/trans/server/src/invitations/dtos/InvitationRequest.dto.ts  | TypeScript |          9 |          0 |          3 |         12 |
| /Users/bruno1388/Desktop/trans/server/src/invitations/dtos/InvitationResponse.dto.ts | TypeScript |         12 |          0 |          4 |         16 |
| /Users/bruno1388/Desktop/trans/server/src/invitations/dtos/RoomStatut.dto.ts         | TypeScript |          9 |          0 |          4 |         13 |
| /Users/bruno1388/Desktop/trans/server/src/main.ts                                    | TypeScript |         19 |          9 |          6 |         34 |
| /Users/bruno1388/Desktop/trans/server/src/match/entities/Match.entity.ts             | TypeScript |          0 |          0 |          1 |          1 |
| /Users/bruno1388/Desktop/trans/server/src/match/match.module.ts                      | TypeScript |          3 |          0 |          2 |          5 |
| /Users/bruno1388/Desktop/trans/server/src/pong/pong.gateway.ts                       | TypeScript |          0 |          0 |          1 |          1 |
| /Users/bruno1388/Desktop/trans/server/src/users/dtos/Friend.dto.ts                   | TypeScript |         16 |          0 |          4 |         20 |
