"filename", "language", "TypeScript", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/useQuery.tsx", "TypeScript JSX", 0, 15, 0, 3, 3, 21
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/useSocket.tsx", "TypeScript JSX", 0, 16, 0, 0, 5, 21
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/useTimeout.tsx", "TypeScript JSX", 0, 16, 0, 0, 4, 20
"/Users/bruno1388/Desktop/trans/react-app/src/hooks/useVisible.tsx", "TypeScript JSX", 0, 15, 0, 0, 6, 21
"/Users/bruno1388/Desktop/trans/react-app/src/index.tsx", "TypeScript JSX", 0, 24, 0, 0, 3, 27
"/Users/bruno1388/Desktop/trans/react-app/src/pages/Enable2FA.tsx", "TypeScript JSX", 0, 82, 0, 110, 16, 208
"/Users/bruno1388/Desktop/trans/react-app/src/pages/Login.tsx", "TypeScript JSX", 0, 87, 0, 1, 12, 100
"/Users/bruno1388/Desktop/trans/react-app/src/pages/Main.tsx", "TypeScript JSX", 0, 52, 0, 3, 8, 63
"/Users/bruno1388/Desktop/trans/react-app/src/pages/Play.tsx", "TypeScript JSX", 0, 92, 0, 0, 8, 100
"/Users/bruno1388/Desktop/trans/react-app/src/pages/Settings.tsx", "TypeScript JSX", 0, 191, 0, 1, 18, 210
"/Users/bruno1388/Desktop/trans/react-app/src/pages/Subscribe.tsx", "TypeScript JSX", 0, 101, 0, 0, 12, 113
"/Users/bruno1388/Desktop/trans/react-app/src/pages/Verify2FA.tsx", "TypeScript JSX", 0, 54, 0, 0, 10, 64
"/Users/bruno1388/Desktop/trans/react-app/src/pages/index.ts", "TypeScript", 7, 0, 0, 0, 1, 8
"/Users/bruno1388/Desktop/trans/react-app/src/utils/pong.utils.tsx", "TypeScript JSX", 0, 24, 0, 0, 3, 27
"Total", "-", 297, 2852, 925, 262, 568, 4904
