Date : 2023-03-13 05:34:52
Directory : /Users/bruno1388/Desktop/trans/server/src
Total : 74 files,  2037 codes, 257 comments, 403 blanks, all 2697 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript     |         73 |      2,037 |        257 |        402 |      2,696 |
| TypeScript JSX |          1 |          0 |          0 |          1 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/bruno1388/Desktop/trans/server/src/match/match.module.ts                      | TypeScript     |          3 |          0 |          2 |          5 |
| /Users/bruno1388/Desktop/trans/server/src/pong/dtos/Broadcast.dto.ts                 | TypeScript     |         19 |          0 |          6 |         25 |
| /Users/bruno1388/Desktop/trans/server/src/pong/dtos/GameEnd.dto.ts                   | TypeScript     |          7 |          0 |          3 |         10 |
| /Users/bruno1388/Desktop/trans/server/src/pong/dtos/UpdatePlayer.dto.ts              | TypeScript     |          9 |          0 |          3 |         12 |
| /Users/bruno1388/Desktop/trans/server/src/pong/pong.gateway.ts                       | TypeScript     |         73 |          1 |         12 |         86 |
| /Users/bruno1388/Desktop/trans/server/src/pong/pong.module.ts                        | TypeScript     |         10 |          0 |          2 |         12 |
| /Users/bruno1388/Desktop/trans/server/src/pong/pong.service.ts                       | TypeScript     |         29 |          0 |          4 |         33 |
| /Users/bruno1388/Desktop/trans/server/src/users/dtos/Friend.dto.ts                   | TypeScript     |         16 |          0 |          4 |         20 |
| /Users/bruno1388/Desktop/trans/server/src/users/dtos/User.dto.ts                     | TypeScript     |         11 |          1 |          2 |         14 |
| /Users/bruno1388/Desktop/trans/server/src/users/dtos/UserValidation.dto.ts           | TypeScript     |         59 |         29 |         25 |        113 |
| /Users/bruno1388/Desktop/trans/server/src/users/entities/Friend.entity.ts            | TypeScript     |         25 |          0 |          7 |         32 |
| /Users/bruno1388/Desktop/trans/server/src/users/entities/User.entity.ts              | TypeScript     |         46 |         10 |         19 |         75 |
| /Users/bruno1388/Desktop/trans/server/src/users/friend/friend.module.ts              | TypeScript     |         15 |          0 |          3 |         18 |
| /Users/bruno1388/Desktop/trans/server/src/users/friend/friend.service.ts             | TypeScript     |         81 |          0 |          7 |         88 |
| /Users/bruno1388/Desktop/trans/server/src/users/users.controller.ts                  | TypeScript     |         87 |         28 |         12 |        127 |
| /Users/bruno1388/Desktop/trans/server/src/users/users.module.ts                      | TypeScript     |         14 |          0 |          2 |         16 |
| /Users/bruno1388/Desktop/trans/server/src/users/users.service.ts                     | TypeScript     |         70 |         22 |         17 |        109 |
| /Users/bruno1388/Desktop/trans/server/src/utils/types.ts                             | TypeScript     |         36 |          6 |          6 |         48 |
| Total                                                                                |                |      2,037 |        257 |        403 |      2,697 |
+--------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
